Estado,2013,2014,2015,2016,2017,Total
MT,2507963846,2566717325,2197602078,1946958976,1841883368,11061125593
SP,1612631028,1478498799,1284591707,1324790594,1300971149,7001483277
RS,1181841373,1582228146,1234296874,1259519236,1087978936,6345864565
PR,1355133110,1573759321,1282975015,1301679075,999843495.9,6513390017
GO,1158939828,1264482418,840175544,922388102,803662837.6,4989648730
MG,975339049,1015414135,693154008,791582594,778808876.7,4254298663
MS,572862140,698144216,540823473,572531841,560829527.1,2945191197
BA,852767606,731710176,549211197,442892516,509155540,3085737035
SC,221787217,273845161,211438857,230108289,182632327.3,1119811851
MA,201651566,229486523,146629630,145573111,160233166.4,883573996.4
TO,115974637,154680542,162162053,131179210,136307352.7,700303794.7
PA,84413163,111344082,95911695,109260905,124799576.6,525729421.6
PI,131039626,141154533,89745285,64067157,105281601.9,531288202.9
RO,91567525,96928779,69420048,81011457,88208383.17,427136192.2
ES,78022518,90323508,55305982,55648260,64116615.89,343416883.9
PE,101342745,72447160,56782207,62441244,38382181.12,331395537.1
AL,62517952,44707377,25229839,25629927,25681673.87,183766768.9
DF,25783307,19697805,12149259,18733907,15236670.25,91600948.25
CE,45945930,17516805,12005009,11481957,11887282.22,98836983.22
SE,6111641,30539896,7504707,10450032,10557527.56,65163803.56
RJ,17140885,17568660,9682969,13115644,10434646.68,67942804.68
PB,17597568,9761486,9359288,8882016,10079373.82,55679731.82
AC,4056688,7620412,5087950,8391671,10027269.95,35183990.95
RN,16923203,13839487,14551724,16229074,7495093.991,69038581.99
RR,13297856,3910052,1781555,3676485,5025863.053,27691811.05
AM,999699,1323042,538399,1324808,2251787.77,6437735.77
AP,632189,895733,290010,723920,1182578.476,3724430.476
